brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
Behrouz Biryani,"Indian,Arabic,Grills",Very good,49,7.00,10.00,
"The Acai Spot, Dubai Marina","Healthy,Cafe",Very good,49,7.00,10.00,
Hawader El Bait,"Arabic,Lebanese",Very good,59,7.00,10.00,
"PF Chang's, Jumeirah Beach Residence - JBR","Asian,Chinese,Japanese",Good,49,7.00,10.00,
Samoon Restaurant,"Sandwiches,Arabic",Good,53,7.00,10.00,
Levant Corner,"Lebanese,Arabic,Shawarma & Doner",Good,58,7.00,10.00,
Yin & Yang Restaurant,"Chinese,Seafood",Very good,53,3.00,10.00,
Il Caffe Di Roma,"Italian,Breakfast,Cafe",Good,57,7.00,10.00,
Tu Yung,"Asian,Chinese,Thai",Very good,53,7.00,10.00,
AlSukaria Restaurant & Cafe,"Sandwiches,Egyptian,Arabic",Good,54,9.00,0.00,
Nagham Cafe & Restaurant,"Breakfast,Chinese,Indian",Very good,30,Free,0.00,
Lotsa! Pasta - Oven Baked Pastas & Bowls,"Pasta,Salads,Italian",Good,40,Free,0.00,
Totally Acai,"Breakfast,Desserts,Healthy",,50,5.00,10.00,New
1900` Burger,"American,Burgers,International",,50,5.00,10.00,New
SOUPERIOR - Hearty Soups,"Soups,Sandwiches",Very good,46,Free,0.00,
SKINNY BOWLS,"Bowls,Healthy,Salads",Very good,43,Free,0.00,
AFFORDABOWLS,"Healthy,Soups,Bowls",Very good,45,Free,0.00,
"Mumtaz Chicken, Al Barsha 1","Burgers,Fast Food,Pizza",Very good,40,5.00,50.00,
"CALI-POKE, Jumeirah Lakes Towers - JLT","Bowls,Healthy,Seafood",Very good,40,Free,50.00,
Al Manara Pharmacy,Pharmacy,Very good,45,5.00,10.00,
Mizu Restaurant,Japanese,,51,5.00,10.00,New
Lake Caffe & Restaurant,"Breakfast,Italian,Pasta",Very good,48,5.00,10.00,
All You Can Keto,"Breakfast,Grills,Healthy",,50,5.00,10.00,New
"Caza Da Venice , Jumeirah Lakes towers","Pizza,Desserts,Italian",Good,30,Free,40.00,
NYC Pizza,"Pizza,Pasta,Italian",Very good,48,5.00,10.00,New
Rose Charms,Flowers,OK,35,5.00,10.00,
Wokyo Noodle Bar,"Japanese,Asian,Chinese",Very good,45,5.00,0.00,
Supercare Pharmacy,Pharmacy,Amazing,49,3.00,10.00,
"Dunkin, Jumeriah Lake Towers","Desserts,Cafe",Very good,44,3.00,10.00,
Mind Cafe & Restaurant,"Healthy,Breakfast,Cafe",Very good,45,Free,50.00,
"Shakeism Milkshakes, Jumeirah Lakes Towers - JLT","Desserts,Cafe",Good,49,5.00,10.00,New
"Mister Baker, Jumeirah Lakes Towers - JLT","Specialty Store,Cakes and Desserts,Bakery",Very good,42,3.00,10.00,
"KPOP Chicken, Jumeirah Lakes Towers","Asian,Wings,Fried Chicken",Very good,48,5.00,10.00,
Christal's,"Desserts,Beverages,Snacks ",Amazing,48,5.00,10.00,
Beast Burger,Burgers,Very good,51,3.00,10.00,
Pizza Di Rocco,"Pizza,Pasta,Italian",Very good,48,5.00,10.00,
Kulfi House,"Healthy,Italian,Desserts",Very good,49,5.00,0.00,
"Subway, Jumeirah Beach Residence - JBR","Healthy,Sandwiches,Breakfast",Very good,43,5.00,10.00,
Gino's Deli,"Italian,Sandwiches,Healthy",Very good,48,5.00,10.00,
"Sushi Art, Meadows","Japanese,Seafood,Asian",Good,45,Free,10.00,
Donaccino,"Specialty Store,Bakery,Desserts",Very good,47,3.00,10.00,
Pizza Ibiza,"Italian,Pizza",Good,50,5.00,0.00,
Bakery & More By 1762,"Bakery,Healthy,Sandwiches",,48,3.00,10.00,
Uncle Sam's Burgers,"American,Burgers,Fast Food",,51,7.00,10.00,New
Pastalito,"Italian,International,Snacks ",,51,7.00,10.00,New
Gourmet Burger Kitchen,"Burgers,American,Breakfast",Good,49,5.00,0.00,
Ola Mexican Grill,"Mexican,Vegetarian",,49,3.00,10.00,New
1762 Street Eats,"American,Burgers,International",,49,3.00,10.00,
Sweet Truth,"Specialty Store,Cakes and Desserts,Bakery",Very good,48,5.00,10.00,
MAYA BLUE - Mexican,"Mexican,Healthy",Very good,48,Free,0.00,
Little Erth By Nabz&G,"Healthy,Vegetarian",Very good,50,5.00,10.00,
"Canadian Pizza,JLT","Pizza,Italian",Very good,50,3.00,10.00,
Massimo's Gelato,"Desserts,Italian",,51,7.00,10.00,New
Syrian Grills,"Arabic,Grills,Healthy",,51,7.00,10.00,New
Lebanese Grills,"Healthy,Lebanese,Grills",,51,7.00,10.00,New
Pressman's Pressed Sandwiches,"Sandwiches,Breakfast,Healthy",Very good,49,3.00,10.00,
Honest Bowl,"Healthy,Snacks ,Salads",,48,5.00,10.00,
Hummingbird Bakery,"Desserts,Bakery and Cakes,Cafe",Good,49,5.00,10.00,
Sofreh Kitchen & Grill,"Iranian,Lebanese,Grills",Very good,54,Free,0.00,
Sarap Nation,"Asian,Breakfast,International",Very good,54,3.00,10.00,
Eggs & Shine,"Desserts,Sandwiches,Breakfast",Amazing,53,5.00,10.00,
"Al Bait Al Shami,Jumeirah Beach Residence - JBR",International,Very good,35,Free,40.00,
Padmanabha,Indian,,49,5.00,10.00,
The Last Mughal 1,"Indian,Pakistani,Grills",,49,5.00,10.00,
Paavo's Pizza,"American,Pizza",Very good,49,3.00,10.00,
Vietnamese Snack,"Asian,Chinese,Vegetarian",Very good,50,5.00,10.00,
One Potato Two Potato (OPTP),"Burgers,Wings,Fried Chicken",Very good,52,Free,10.00,
"Sushi Art, DMC","Japanese,Seafood,Asian",Good,52,Free,10.00,
Black Bread Bakery,"Specialty Store,Bakery",,51,5.00,10.00,New
Keto Pint Ice Cream,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,47,7.00,10.00,
800 Pharmacy,Pharmacy,Amazing,46,7.00,10.00,
Lotsa! Lazy Cake,"Specialty Store,Bakery and Cakes,Desserts",Good,48,7.00,10.00,
"Firas Al Diyafa Sweets, Discovery Gardens","Specialty Store,Bakery,Desserts",Very good,47,7.00,10.00,
Costa,"Breakfast,Cafe,Sandwiches",Good,43,5.00,10.00,
"Chalet Grill Plus Restaurant (Ready Meal Kit), Al Barsha 1,Al Barsha 1",Arabic,,45,5.00,50.00,
"Curry Chatti Restaurant, Al Karama","Chinese,Indian,Vegetarian",OK,40,Free,50.00,
Wok Box,"Chinese,Thai,Asian",Very good,52,3.00,10.00,
"Tandoori Junction,Jumeirah Lakes Towers - JLT",Indian,Good,52,5.00,10.00,
Megalo Bites,"Burgers,Fast Food,Sandwiches",Very good,51,5.00,10.00,
"Debonairs Pizza, JLT","Pizza,Salads,Desserts",Very good,52,5.00,10.00,
Red Burger,"Burgers,American",OK,50,5.00,10.00,
Chef Liang Cantonese,"Asian,Chinese,Seafood",,50,5.00,10.00,
"Tortilla, Dubai Media City","Mexican,American",Very good,51,Free,10.00,
"Keto Bowl, JLT,Jumeirah Lakes Towers - JLT","Healthy,Desserts",Very good,49,5.00,10.00,
Bouza Roll,"Specialty Store,Cakes and Desserts",Very good,51,3.00,10.00,
Public Cafe,"Cafe,Breakfast,Burgers",Very good,51,3.00,10.00,
MiniMe Pancakes,"Desserts,American,Breakfast",Very good,50,7.00,10.00,
"Rawabina Restaurant & Sweets , Um Al Sheif",Arabic,OK,45,5.00,35.00,
"Arz Lebanon , Al Barsha 1","Lebanese,Arabic,Breakfast",Very good,50,Free,50.00,
Domino's Pizza,"Pizza,American",Very good,30,7.00,0.00,
Conestreet Gelato & Juices,"Desserts,Beverages",Very good,47,7.00,10.00,
WOFL,"Desserts,Sandwiches",Good,35,3.00,20.00,
